"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"St. Lucia","LCA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","890","910","1020","1020","1070","1030","960","880","800","720","620","680","640","690","680","650","680","600","610","1340","700","680","830","640","690","710","690","710","740","","","",
"Latin America & Caribbean","LCN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","2454614.93264852","2058777.36311447","2318632.5277264","2185736.0610613","2316630.0882825","2492540.83513397","2749485.15328917","2481305.10221322","2744834.35323666","2907317.85280283","3040379.48355228","2928972.19127242","3049425.00983303","3031186.14142961","2776182.20925395","2857616.67468712","2982878.58245142","3287880.83329619","3106319.85547987","3158259.0746659","1922350","1967700","2002860","2049180","2117330","2148040","2225250","2312410","2374830","2372350","2422030","2456180","2499870","2558770","2648180","2714500","2760170","2851600","2921670","2893210","3005820","3070480","3136970","3189730","3223830","3232260","3220170","3205980","3178850","","","",
"Least developed countries: UN classification","LDC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","3335411.78978867","2233618.92303737","2422534.96747697","2780801.32619687","2181218.24186143","2408270.0677359","2246082.96933987","2720449.17952353","2893201.96041633","3279937.6052494","3180581.9480989","2805527.7513658","3040891.9441544","3648701.2938338","2724129.4566561","2592352.32801643","2631619.71039573","3348706.62026833","2646972.816261","2568461.66011627","811110","822290","838330","848760","868280","898160","909240","925970","963740","981980","999240","1007220","1058720","1116590","1141720","1191450","1210930","1264740","1310960","1347030","1402010","1441370","1497210","1553150","1607010","1658470","1713490","1747540","1772600","","","",
"Low income","LIC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","2150725.18453667","1459598.14238667","1523066.18789667","1618865.60782667","1421861.58675333","1615231.76745","1508736.68139667","1716538.67518333","1745112.07382333","2163085.32009","1989802.29345","1748995.72515","1983572.83902","1978348.20293","1693977.10387","1681315.82403333","1612884.69788333","1992341.91826333","1600915.12286","1740635.32326667","664590","671260","668270","663650","673120","680720","686160","692650","716490","727230","745220","746220","777840","811000","828530","874240","890980","915900","957490","956780","981380","982520","1007320","1011280","1040790","1050770","1087770","1093660","1108360","","","",
"Liechtenstein","LIE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","230","230","240","230","230","230","250","260","250","240","240","250","260","260","260","260","240","260","240","230","210","220","230","200","190","190","190","180","","","",
"Sri Lanka","LKA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24500","24460","26300","26750","27670","27830","27510","25410","22790","22070","21200","21040","22040","23260","23470","25460","23920","24890","25200","24350","25590","28490","29860","27740","30600","33900","35290","35920","35240","","","",
"Lower middle income","LMC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","4173139.663168","3675211.399219","4378513.167498","4420850.933973","3972274.978937","4057213.802744","4305818.2248319","5000432.948732","4842561.193569","5136106.8466","5278322.2328468","5017581.037373","7094718.9311998","6401045.458379","5370980.991455","5360342.7622732","5945512.9017454","7030312.286","5861925.40204","5848382.889892","4582200","4682160","4692650","4722660","4778800","4908860","4960640","5062510","5119890","5301030","5384390","5484590","5600490","5789890","5964770","6146240","6379980","6685230","6839860","6990650","7234560","7514210","7719030","7844500","8134560","8227670","8411170","8665610","9007720","","","",
"Low & middle income","LMY","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","13980630.8476713","12450954.8273496","13761769.2724141","14000586.8719788","13549403.7173861","14402707.570833","15035256.9331262","16017370.7262014","16436555.3826558","17418986.1037935","17589494.4793457","16914237.0406048","19479737.5778874","19020332.4203993","17356768.9338211","17459720.1095853","18376768.6737895","20274758.0692374","19011036.2184825","19306414.6312697","15507940","15630350","15484290","15487070","15445910","15931690","16070350","16162070","16360520","16468700","16936130","17351810","17929820","18987150","20161830","21243460","22374440","23491830","24188260","24664510","26122260","27474750","28164440","28784830","29139510","29181020","29444030","30032290","30740280","","","",
"Lesotho","LSO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3310","3370","3580","3600","3610","3570","3580","3590","3560","4120","4080","4080","3930","4010","3990","4190","4260","4460","4530","4750","4900","5100","5280","5280","5390","5390","5420","5780","5850","","","",
"Late-demographic dividend","LTE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","7391225.6574026","7112957.5467278","7662193.5422611","7757478.7661271","7917349.8401365","8471339.2020175","8918449.0393955","9017634.2519552","9581288.0221904","9756455.3287891","9924356.8384281","9735237.1322366","9917798.6862188","10232510.7194951","10188853.8803024","10294647.0456915","10676785.0390799","11073307.4404802","11362205.8035602","11492449.9542523","9586640","9638480","9440050","9370950","9230100","9573980","9604460","9515780","9609250","9591160","9882350","10197800","10612520","11408200","12358170","13190600","14047680","14779160","15239730","15586440","16740450","17778890","18217950","18722310","18733120","18755290","18789010","19080610","19448630","","","",
"Lithuania","LTU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45200","46930","32150","26240","24220","22620","23380","23170","24050","21320","19620","20060","20420","20600","21580","22720","22850","23850","23280","19710","20520","19980","19900","19000","18550","18800","18820","18730","18840","","","",
"Luxembourg","LUX","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12200","12680","12360","12570","11730","9580","9660","9160","8480","8870","9400","9960","10740","11150","12590","12820","12620","12030","11960","11380","11980","11830","11580","11050","10560","10050","9770","9920","10220","","","",
"Latvia","LVA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25380","23660","20930","17740","14760","13020","13010","12430","11980","11270","10490","11020","11060","11170","11250","11410","11940","12360","12010","11220","12390","11750","11540","11490","11440","11500","11340","11260","11660","","","",
"Macao SAR, China","MAC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39680","41080","42200","41890","45000","45620","46300","48260","49180","51360","52470","56360","58160","58430","62980","65870","68420","69660","72630","73210","77020","82170","84440","85260","87050","89790","88660","93090","94290","","","",
"Monaco","MCO","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38420","32330","27110","23720","20660","18590","16830","15130","13670","12300","11460","11680","11820","12430","12410","12700","12360","12580","12450","11770","12530","12690","12450","11590","12220","12470","12670","12700","13180","","","",
"Madagascar","MDG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26260","26360","26690","27150","27110","27500","27550","27460","28430","28100","27550","26490","24370","26890","25760","29510","28270","29720","28530","29120","29190","29120","30480","29200","29680","30000","31000","29620","30570","","","",
"Maldives","MDV","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","210","280","260","270","330","350","420","400","520","560","590","720","640","860","840","1000","1010","1020","1080","1140","1220","1380","1390","1650","1660","2120","2230","2380","","","",
"Middle East & North Africa","MEA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","634578.748566","669140.808619","733877.172219","830530.060623","831556.827571","829704.757689","943614.995445","966944.54795","993040.72488","1018561.41968","1016408.63292","932039.53034","1009981.69612","1048866.27062","1027321.88011","894675.92733","918471.19124","922611.62761","967235.04095","1018313.39782","1209040","1284010","1339870","1400590","1481580","1537870","1596460","1652490","1681040","1743870","1810390","1891760","1969060","2033910","2142870","2287270","2409890","2519390","2644660","2746250","2846690","2884970","3008480","3052650","3138920","3171900","3216500","3275640","3305530","","","",
"Mexico","MEX","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","392910","410910","413780","433460","459060","440060","466560","494350","521770","505250","531670","529010","534200","556090","563270","586270","609010","630890","660920","645320","650160","664660","659240","652690","645940","670100","682910","678120","679880","","","",
"Marshall Islands","MHL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","110","110","120","120","120","120","130","130","130","140","150","150","160","170","170","180","170","170","180","180","180","180","190","190","220","220","240","","","",
"Middle income","MIC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","11829905.6631346","10991356.6849629","12238703.0845174","12381721.2641521","12127542.1306327","12787475.803383","13526520.2517295","14300832.0510181","14691443.3088325","15255900.7837035","15599692.1858957","15165241.3154548","17496164.7388674","17041984.2174693","15662791.8299512","15778404.285552","16763883.9759061","18282416.1509741","17410121.0956225","17565779.3080031","14843350","14959090","14816020","14823420","14772790","15250970","15384190","15469420","15644030","15741470","16190910","16605590","17151980","18176150","19333300","20369220","21483460","22575930","23230770","23707730","25140880","26492230","27157120","27773550","28098720","28130250","28356260","28938630","29631920","","","",
"North Macedonia","MKD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13980","13310","12720","12720","12260","11900","13430","12260","13030","12130","11820","11880","11260","12170","11950","12330","12370","12810","12600","11910","11750","12690","12120","11240","10820","10560","10530","11010","10510","","","",
"Mali","MLI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15820","15780","15830","16060","16310","16660","17780","18280","19720","21300","22640","22340","22620","23410","25720","26680","27000","27940","29380","29620","31800","32760","33430","34620","35190","36670","41040","42140","43740","","","",
"Malta","MLT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2520","2430","2410","3050","2760","2620","2570","2730","2630","2670","2410","2780","2620","2920","2920","2970","3050","3140","3080","2890","2990","2980","3160","2830","2840","2160","1870","2010","2040","","","",
"Myanmar","MMR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55400","54900","57430","60110","62630","65710","65880","64710","66350","71440","73310","72870","73330","77680","80120","83320","86320","88700","87060","88090","90150","88990","92790","96110","101600","104970","109430","119660","119650","","","",
"Middle East & North Africa (excluding high income)","MNA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","408996.90515","412520.9317","437806.1981","482741.51961","486325.38316","495625.67765","560902.54552","575272.77009","587830.55524","598482.83779","571372.06238","517598.49239","601864.27008","640465.76216","653423.40059","688764.78715","704396.44873","710207.85309","736639.51707","773672.30135","827190","859520","910600","947420","998560","1035720","1069030","1124550","1119230","1158240","1200530","1251800","1292590","1329410","1402640","1501950","1571310","1631650","1681910","1752500","1781760","1778740","1829400","1842530","1872290","1845120","1871850","1921440","1970250","","","",
"Montenegro","MNE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2580","2560","2450","2460","2460","2530","2560","2580","2590","2560","2500","2520","2520","2530","2380","4160","4220","4020","4490","3430","4180","4030","3790","3660","3560","3650","3400","3520","3800","","","",
"Mongolia","MNG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30130","32370","30230","29030","27260","28180","27420","28250","28650","29310","30050","27510","25630","25410","25180","27880","30790","33490","33740","34720","32050","35710","39140","41590","44130","45710","48090","50880","52620","","","",
"Northern Mariana Islands","MNP","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19910","19890","20230","20630","20600","20850","20620","19330","21410","20610","19650","21970","23920","24630","24260","26040","25090","26740","27980","25960","28230","27960","29190","30630","32470","32910","31910","32410","35040","","","",
"Mauritania","MRT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6720","6960","6830","7050","6980","7070","7590","7880","8160","8730","9150","9260","9350","9530","9560","9710","10090","10340","9740","10530","11100","11220","11670","11670","12150","12830","13250","13920","14080","","","",
"Mauritius","MUS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2280","2380","2470","2630","2710","2770","2940","3050","3330","3860","4300","4400","4420","4610","4640","4830","5260","5400","5510","5500","5780","5830","5990","6120","6330","6370","6530","6720","6740","","","",
"Malawi","MWI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10920","10220","9340","8600","7330","7770","8020","8170","8440","8560","8760","8890","9510","10010","10330","10740","10830","11050","11410","11290","11670","12440","13120","13960","14900","15820","16190","16950","18320","","","",
"Malaysia","MYS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90370","97930","104660","108050","114970","122590","135220","143800","145710","155090","166030","172150","183540","193010","208590","219100","226630","244160","258710","238640","259160","263030","265900","282940","296240","297970","294860","289730","306670","","","",
"North America","NAC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","5895826.525182","5953199.317507","6202077.955556","6433903.382676","6295263.05","6069698.792523","6449398.88","6623394.688008","6605082.220219","6792033.97","6608490.846422","6530407.246054","6111325.987286","6098981.315036","6331562.955537","6354321.231181","6297473.249455","6315318.578642","6809717.182722","7016378.804785","6520120","6474500","6572320","6677800","6789440","6866470","7052200","7317220","7359500","7360200","7532910","7467870","7326440","7404800","7480880","7506900","7398430","7520400","7318170","6855460","7116780","6904190","6662950","6814090","6841350","6711580","6602470","6552170","6748550","","","",
"Namibia","NAM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9360","9310","9270","9460","9580","9470","9330","10010","10020","10810","10920","9550","10220","10720","11320","12670","12050","10600","13510","12920","17900","19490","12700","11970","12100","12840","12890","11930","","","",
"New Caledonia","NCL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13350","13870","14420","15140","15690","16340","17130","17770","18630","19390","20210","21080","21900","22830","23720","24650","25620","26860","28130","29510","29670","31290","33750","35580","37810","39610","41330","43050","45050","","","",
"Nigeria","NGA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201330","211530","223690","223580","222250","216830","218060","210550","200610","193530","189750","202020","206590","214100","217970","234450","229740","227900","230830","212730","234930","253110","257540","271940","281650","277140","284340","291170","311450","","","",
"Nicaragua","NIC","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9960","8600","9510","10190","10500","9890","9910","10660","11090","12240","12780","13000","13480","14490","14120","14440","14730","14930","14790","14900","15250","16390","16760","16980","17870","18840","19040","18960","19070","","","",
"Netherlands","NLD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203960","209320","208700","214220","213960","219360","230290","221490","221620","209170","207110","208170","207690","207650","209230","203580","198920","198800","196570","191320","202130","188890","187110","186690","179380","188330","188160","184550","178640","","","",
"Norway","NOR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45950","43380","43940","45780","47320","46640","47500","49110","50690","52650","47280","47910","47390","49320","49830","48570","48990","49610","48130","47530","51870","50120","48980","48060","48310","48580","47980","46920","47340","","","",
"Nepal","NPL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21760","22150","22010","22960","23840","25080","26030","27050","28020","29530","30330","30840","30440","31090","31420","32220","32270","32720","34020","35880","37220","39020","40940","41840","43860","43670","47070","49580","51240","","","",
"Nauru","NRU","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","130","130","120","120","110","110","110","110","100","90","90","80","80","70","80","50","50","50","50","50","50","50","50","60","60","70","70","80","","","",
"New Zealand","NZL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71050","70510","71370","70440","72170","73430","73980","76280","74780","77030","77190","79870","81420","83850","82490","83990","84250","82960","82990","80190","79980","79400","81670","81240","81740","81690","80410","82060","81330","","","",
"OECD members","OED","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","13043468.7084","13144747.9824","13668936.30795","14298770.2737","14149706.1308","13795679.1461","14550144.07115","14799406.2909","14925896.18644","15417822.98884","15102238.81089","14770683.38287","14269693.84749","14183520.86287","14539942.11682","14672357.16311","14658844.77994","14690751.5676","15354299.31218","15665171.98738","14424840","14444710","14463620","14547340","14759300","14932150","15338460","15593620","15563870","15566530","15885250","15866910","15727390","15867120","16035720","16023940","15995050","16178670","15825130","15011460","15481930","15328740","15121720","15102990","14916100","14848340","14752500","14769390","14851080","","","",
"Oman","OMN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14790","19160","18130","17470","17380","19320","19700","21280","21510","24850","27100","29870","31510","32240","32120","32530","42440","46220","45550","48440","52480","58730","65340","68280","72070","76260","77840","78490","82300","","","",
"Other small states","OSS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","133928.8930786","126790.4782804","139196.8361539","154108.1394658","148440.4157103","153695.984704","154775.6390679","163024.0827084","168454.4188714","174759.8099307","173953.514609","168991.139609","173456.790957","180285.653613","175346.447966","176499.169042","181419.301135","189638.687917","187756.497235","189477.841897","134230","141780","137640","135700","136960","138060","145090","149750","154300","159280","161990","170730","179000","183230","192830","213920","226910","234960","250300","243230","265570","279800","279010","277370","280960","280470","282660","290540","292880","","","",
"Pakistan","PAK","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158450","159400","168600","178420","185090","195560","202600","209520","213320","225890","228010","231230","237640","245480","262420","270700","290100","306860","309840","320200","314470","323170","326970","337420","351040","365780","389400","414600","431220","","","",
"Panama","PAN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8110","8610","9290","9550","9850","10070","10030","9940","10980","10100","10230","11630","10930","11140","11250","12930","13470","13500","13630","15220","15880","16970","17680","18030","18630","18090","18300","17900","18010","","","",
"Peru","PER","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43970","42740","43610","44780","47300","52080","55670","56970","57160","61510","62310","60500","62460","62290","66670","67840","67810","71710","76510","80650","84650","88120","88380","89840","93240","94880","98040","96040","96280","","","",
"Philippines","PHL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95750","95810","97950","103460","111230","123410","132370","140970","134680","140440","142340","141890","143550","146690","150440","151720","144810","150350","153560","155570","161170","163300","168460","179820","187640","196720","209480","225870","232340","","","",
"Palau","PLW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","210","210","210","210","210","220","220","220","230","230","230","230","250","280","270","260","230","220","230","240","240","240","250","250","290","300","320","","","",
"Papua New Guinea","PNG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8480","9480","10500","11590","12470","13800","13610","13790","13730","13640","13790","14310","14570","14880","15790","15270","15230","15370","15040","15370","15390","16390","17120","18350","20040","21670","22680","22900","22970","","","",
"Poland","POL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","442310","438090","427300","426790","422110","421650","436360","426140","396320","385650","372230","372090","364320","376240","380590","382220","396050","396050","389770","373950","391920","387760","380780","375430","362360","366250","377190","390070","389650","","","",
"Pre-demographic dividend","PRE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","2826299.49928367","1965110.10796167","2057102.03782967","2204682.75268167","1945098.64544333","2173070.525706","2054079.46872567","2311014.65972933","2327119.43253733","2907058.592179","2681503.8119","2331847.248703","2606792.804243","2579592.829532","2224619.783214","2205666.34450333","2131911.59114433","2605104.13477833","2110118.661618","2320567.48571467","872380","876330","922650","966600","1050900","1055850","1062280","1086200","1073920","1058650","1080630","1101380","1142300","1190470","1218550","1291540","1285640","1326420","1371060","1393890","1468750","1531940","1597010","1658570","1707370","1736780","1795460","1806560","1860540","","","",
"Puerto Rico","PRI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159020","151510","137370","127910","118480","110820","99010","90670","82400","86350","89640","92750","89950","91250","92570","95620","97820","85340","93390","76800","73940","59670","61410","50830","54550","48430","53460","46000","41910","","","",
"Portugal","PRT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56310","58020","62050","60960","62870","66650","64990","67360","72460","79260","78790","78130","82990","78000","80000","82990","77800","76400","74150","73270","67990","67110","65410","63700","63320","67430","66380","70950","66820","","","",
"Paraguay","PRY","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32320","29330","28700","28910","28900","30900","30160","30870","31430","31990","30890","33040","32480","34760","32920","33920","34380","36810","36010","38070","40660","41900","43280","44800","46870","47310","48060","50540","49170","","","",
"West Bank and Gaza","PSE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pacific island small states","PSS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","5144.62893782","5173.26484882","5438.6901205","5823.21861494","5968.19540073","6257.018943","6288.26109343","6750.35415161","7393.12306768","7251.18750629","8389.282488","8547.85698866","8622.69180027","8495.89982166","8019.50131095","8886.05791011","8622.51234824","9144.77848491","9549.30298807","9173.02534017","3510","3620","4070","4200","4330","4460","4550","4570","4560","4600","4610","4920","4800","5000","5530","5460","5520","5510","5160","5170","5390","5460","5490","5730","6050","5710","6290","6470","6720","","","",
"Post-demographic dividend","PST","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","12754630.6371078","12859771.0501257","13345418.9235364","13967683.7015978","13778717.3964677","13412984.5539404","14134866.9119454","14368294.090745","14436859.67016","14925009.16798","14583489.214556","14277940.486446","13721974.000949","13663547.884128","14001330.701439","14136981.132565","14099741.247249","14113398.693665","14775601.787747","15068675.575341","14276460","14208120","14108810","14066090","14139870","14276600","14555740","14751650","14684590","14709620","14973040","14975630","14825910","14947840","15060960","14987220","14897700","15025960","14635430","13795600","14240240","14080690","13847150","13826310","13605880","13441280","13294470","13237560","13324230","","","",
"French Polynesia","PYF","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14080","16240","16420","17340","18230","19100","20050","21690","23130","25370","24230","26170","30500","32040","35260","44810","49050","55950","60670","63190","68840","72840","80860","82700","88940","92460","94700","97340","99830","","","",
