"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bolivia","BOL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23230","24030","25850","27620","29690","29270","28760","29350","30420","30620","30520","30430","33160","33940","36410","38560","39230","40330","41580","42910","47730","47800","49130","50910","51870","53400","55780","56300","56870","","","",
"Brazil","BRA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","593950","621220","631150","641360","657690","677740","685170","713090","736040","752070","765600","796350","823220","837390","883460","888930","886910","911240","924380","905490","986440","1004840","1042040","1070850","1105900","1082700","1051690","1064920","1032640","","","",
"Barbados","BRB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3120","3150","3390","3240","3320","3370","3380","3490","3610","3650","3600","3670","3720","3730","3730","3770","3830","3850","4170","7010","4000","4090","4660","3940","3760","3770","3820","3720","3790","","","",
"Brunei Darussalam","BRN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13880","13490","13830","14240","14650","15160","15690","16400","15950","16160","16720","16700","16830","17820","17580","17560","19480","18640","18530","18270","17220","17270","17310","17110","16960","15880","16180","16330","16620","","","",
"Bhutan","BTN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1130","1180","1170","1140","1170","1270","1300","1390","1390","1430","1410","1350","1390","1360","1320","1510","1490","1510","1440","1470","1570","1780","1870","1970","2030","2040","2310","2420","2470","","","",
"Botswana","BWA","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13660","13100","13360","13050","13320","14260","15490","15170","14900","15010","14920","16780","17120","9990","10590","11990","13860","12160","20940","11830","22420","27490","16490","15950","14760","14400","13580","17460","16120","","","",
"Central African Republic","CAF","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34730","35480","35970","36450","39390","39960","42360","42920","45340","43390","46740","42640","40130","44980","42100","42870","43570","44490","46240","42260","44960","48060","46980","50040","51370","53480","55820","54780","55680","","","",
"Canada","CAN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559840","555770","571700","569720","590300","605760","626130","641550","650070","653800","671760","660900","679480","698410","693310","705080","691000","722540","698190","661010","674200","689760","694210","705420","712310","707930","695200","709370","724930","","","",
"Central Europe and the Baltics","CEB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","1333732.6182","1341337.3044","1387156.8677","1446894.6566","1475796.6264","1529645.5234","1582637.1396","1639060.9191","1702378.274","1726697.7376","1716304.2926","1695106.4099","1698560.9345","1715863.5319","1724652.3986","1724007.7073","1741424.4196","1733457.2036","1744121.7874","1695101.7838","1280490","1175470","1095910","1062280","1034210","1036450","1060660","1031680","972430","924790","916490","931140","910670","944060","944160","942590","958170","965260","945630","876300","903200","902300","873260","845980","825390","837450","847240","870180","864510","","","",
"Switzerland","CHE","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52650","54850","54770","52300","51430","52360","52950","51500","53040","53160","52360","53960","52310","53500","53950","54650","54350","52410","54010","52530","54100","50020","51250","52270","48470","47710","48190","47200","46020","","","",
"Channel Islands","CHI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47520","46790","49130","50490","54020","57480","63880","71060","72330","75120","71480","69330","70050","70920","76250","76810","78180","86380","90920","88350","93170","99620","101900","104980","98660","104020","108150","109350","109590","","","",
"China","CHN","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3222270","3371940","3503100","3726350","3877370","4266840","4302870","4311650","4451040","4401290","4597430","4791440","5100860","5717660","6467060","7194480","7879330","8497040","8786120","9377660","10203820","11074550","11399830","11854530","11865310","11859290","11857180","12058050","12355240","","","",
"Cote d'Ivoire","CIV","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9250","14980","20570","26260","32090","31860","31580","32220","31810","33080","32420","31480","30860","28080","25700","26210","24390","23190","22260","20370","19320","18210","19130","20460","20410","21460","22730","23120","22900","","","",
"Cameroon","CMR","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17840","17530","17480","21650","78090","78130","77880","78810","80340","80590","82580","81440","81280","82630","81690","83410","82990","84280","83940","84420","85500","84750","84450","85650","86320","87300","88300","88320","89050","","","",
"Congo, Dem. Rep.","COD","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42210","41100","41500","41870","42200","42190","37000","36570","37620","35870","35580","37320","42720","45610","47790","47910","49100","46510","48790","49250","51030","51120","52160","55970","57680","57980","57640","59660","58700","","","",
"Congo, Rep.","COG","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4110","6330","6250","6210","5990","6170","4860","5500","5480","5250","5010","5290","5640","6670","6780","9240","9590","9650","10090","10120","10250","10290","10140","9630","9370","9200","9250","9180","9370","","","",
"Colombia","COL","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124290","126050","129720","133730","135820","138850","139460","144130","145830","135760","139710","142190","141230","143240","145070","147790","149020","154390","155750","159900","164350","166910","165340","172010","175230","176980","180940","177470","184100","","","",
"Comoros","COM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270","270","280","290","290","300","300","310","330","340","320","340","350","370","390","380","410","360","380","400","440","450","460","490","490","510","540","580","590","","","",
"Cabo Verde","CPV","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240","250","290","290","280","310","300","310","340","380","400","430","470","500","540","640","700","660","680","730","770","760","730","720","710","720","770","800","830","","","",
"Costa Rica","CRI","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8850","9120","10220","10290","10670","10240","10200","10290","11010","10840","10700","11020","11060","11430","11430","11960","12280","13660","13860","13450","13560","14270","14230","14720","14770","14630","15540","15710","15810","","","",
"Caribbean small states","CSS","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","35617.426255","35237.911346","39057.363304","31318.987327","31665.996581","34072.794048","34476.80418","32201.101718","26769.055147","35636.201017","28783.187033","43776.461935","42543.358661","42242.735151","38585.249656","36977.168598","37256.202794","40434.643531","37694.213097","39465.683483","44920","44810","46120","46370","47530","47540","46930","46800","47320","46830","44910","46610","47180","47560","48250","51810","55810","56220","53810","63040","54430","56360","58520","57700","57020","56680","53830","53410","55020","","","",
"Cuba","CUB","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54480","45610","39680","35890","37220","38980","42070","44520","43950","44280","44590","43620","42270","41550","41060","41230","42150","43220","42680","44020","47120","45950","46190","44850","44520","44560","45650","42480","41860","","","",
"Curacao","CUW","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Total greenhouse gas emissions (kt of CO2 equivalent)","EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5410","5940","6360","6630","6880","6770","7150","7230","7560","7840","8100","8020","8250","8920","8860","9000","9110","9430","9620","9440","9130","8880","8370","7700","8080","8140","8540","8680","8600","","","",
